;t;Brauendistanz(Pixel);AU27;Mund_Nasen_Falte(Pixel/Fenstergroesse);Tonlage;Emotion
132;13,2;41;0;36;;et
133;13,3;41;0;26;;et
134;13,4;42;0;27;;et
135;13,5;41;0;24;;et
136;13,6;41;0;25;;et
137;13,7;49;0;25;247.0;et
138;13,8;49;1;14;255.0;a
139;13,9;49;1;17;267.0;a
140;14;48;1;13;256.0;a
141;14,1;49;1;13;254.0;a
142;14,2;49;1;18;254.0;a
143;14,3;49;0;14;257.0;et
144;14,4;48;1;14;260.0;a
145;14,5;50;0;14;267.0;et
146;14,6;49;1;12;254.0;a
147;14,7;49;1;13;257.0;a
148;14,8;50;1;15;260.0;a
149;14,9;49;1;14;263.0;a
150;15;45;0;25;267.0;et
151;15,1;44;0;28;259.0;et
152;15,2;43;0;15;250.0;et
153;15,3;45;0;15;210.0;et
154;15,4;43;0;18;212.0;et
155;15,5;50;1;16;223.0;a
156;15,6;48;1;18;235.0;a
157;15,7;49;1;15;250.0;a
158;15,8;41;1;13;255.0;a
159;15,9;41;0;13;257.0;et
160;16;42;0;24;245.0;et
161;16,1;40;0;26;;et
162;16,2;42;0;25;;et
163;16,3;41;0;26;;et
164;16,4;41;0;22;;et
165;16,5;41;0;22;;et
166;16,6;42;0;24;;et
167;16,7;41;0;22;;et
168;16,8;45;0;23;;et
169;16,9;47;0;22;;et
170;17;50;0;24;;et
171;17,1;48;0;27;;et
172;17,2;40;0;25;;et
173;17,3;41;0;25;;et
174;17,4;41;0;24;;et
175;17,5;41;0;23;;et
176;17,6;35;0;23;;et
177;17,7;35;0;40;123.0;et
178;17,8;36;0;42;130.0;et
179;17,9;35;0;42;119.0;et
180;18;37;0;38;121.0;et
181;18,1;37;0;38;120.0;et
182;18,2;36;0;37;123.0;et
183;18,3;36;0;41;122.0;et
184;18,4;36;0;39;129.0;et
185;18,5;37;0;36;123.0;et
186;18,6;37;0;41;124.0;et
187;18,7;36;0;40;125.0;et
188;18,8;36;0;38;123.0;et
189;18,9;35;0;39;124.0;et
190;19;37;0;40;122.0;et
191;19,1;35;0;39;120.0;et
192;19,2;35;0;37;123.0;et
193;19,3;37;0;42;120.0;et
194;19,4;37;0;39;121.0;et
195;19,5;36;0;41;123.0;et
196;19,6;37;0;42;124.0;et
197;19,7;43;0;37;126.0;et
198;19,8;42;0;41;128.0;et
199;19,9;42;0;39;130.0;et
200;20;41;0;26;;et
201;20,1;41;0;28;;et
202;20,2;42;0;25;;et
203;20,3;43;0;25;;et
204;20,4;43;0;26;;et
205;20,5;43;0;24;;et
206;20,6;41;0;23;;et
207;20,7;42;0;25;;et
208;20,8;43;0;27;;et
209;20,9;42;0;23;;et
210;21;42;0;23;;et
211;21,1;41;0;23;;et
212;21,2;42;0;28;;et
213;21,3;42;0;25;;et
214;21,4;41;0;25;;et
215;21,5;42;0;24;155.0;w
216;21,6;26;1;46;162.0;u
217;21,7;25;1;47;167.0;u
218;21,8;26;1;44;156.0;u
219;21,9;27;1;42;157.0;u
220;22;27;1;45;156.0;u
221;22,1;26;1;46;158.0;u
222;22,2;27;1;42;162.0;u
223;22,3;27;1;47;161.0;u
224;22,4;26;0;47;159.0;f
225;22,5;25;1;47;166.0;u
226;22,6;26;0;34;165.0;w
227;22,7;25;0;32;159.0;w
228;22,8;26;1;43;155.0;u
229;22,9;27;1;45;152.0;u
230;23;28;1;46;153.0;u
231;23,1;27;1;43;154.0;u
232;23,2;25;0;27;145.0;w
233;23,3;38;1;44;126.0;u
234;23,4;39;0;23;127.0;et
235;23,5;41;0;28;126.0;et
236;23,6;41;0;25;129.0;et
237;23,7;40;0;25;130.0;et
238;23,8;39;0;23;132.0;et
239;23,9;41;0;25;133.0;et
240;24;39;0;25;132.0;et
241;24,1;39;1;24;129.0;u
242;24,2;40;0;27;128.0;et
243;24,3;40;0;27;125.0;et
244;24,4;40;0;27;125.0;et
245;24,5;40;0;25;124.0;et
246;24,6;38;0;22;125.0;et
247;24,7;40;0;26;127.0;et
248;24,8;41;0;25;123.0;et
249;24,9;41;0;23;124.0;et
250;25;40;0;24;126.0;et
